Date,Holiday
2025-11-11,Armistice Day
2025-12-25,Christmas Day
2026-01-01,New Year’s Day
2026-04-06,Easter Monday
2026-05-01,Labour Day
2026-05-14,Ascension Day
2026-05-25,Whit Monday
2026-07-21,National Day
2026-08-15,Assumption Day
2026-11-01,All Saints’ Day
2026-11-11,Armistice Day
2026-12-25,Christmas Day
2027-01-01,New Year’s Day
2027-03-29,Easter Monday
2027-05-01,Labour Day
2027-05-06,Ascension Day
2027-05-17,Whit Monday
2027-07-21,National Day
2027-08-15,Assumption Day
2027-11-01,All Saints’ Day
2027-11-11,Armistice Day
2027-12-25,Christmas Day
2028-01-01,New Year’s Day
2028-04-17,Easter Monday
2028-05-01,Labour Day
2028-05-25,Ascension Day
2028-06-05,Whit Monday
2028-07-21,National Day
2028-08-15,Assumption Day
2028-11-01,All Saints’ Day
2028-11-11,Armistice Day
2028-12-25,Christmas Day
2029-01-01,New Year’s Day
2029-04-02,Easter Monday
2029-05-01,Labour Day
2029-05-10,Ascension Day
2029-05-21,Whit Monday
2029-07-21,National Day
2029-08-15,Assumption Day
2029-11-01,All Saints’ Day
2029-11-11,Armistice Day
2029-12-25,Christmas Day
2030-01-01,New Year’s Day
2030-04-22,Easter Monday
2030-05-01,Labour Day
2030-05-30,Ascension Day
2030-06-10,Whit Monday
2030-07-21,National Day
2030-08-15,Assumption Day
2030-11-01,All Saints’ Day
2030-11-11,Armistice Day
2030-12-25,Christmas Day
2031-01-01,New Year’s Day
2031-04-14,Easter Monday
2031-05-01,Labour Day
2031-05-15,Ascension Day
2031-05-26,Whit Monday
2031-07-21,National Day
2031-08-15,Assumption Day
2031-11-01,All Saints’ Day
2031-11-11,Armistice Day
2031-12-25,Christmas Day
2032-01-01,New Year’s Day
2032-04-05,Easter Monday
2032-05-01,Labour Day
2032-05-27,Ascension Day
2032-06-07,Whit Monday
2032-07-21,National Day
2032-08-15,Assumption Day
2032-11-01,All Saints’ Day
2032-11-11,Armistice Day
2032-12-25,Christmas Day
2033-01-01,New Year’s Day
2033-04-25,Easter Monday
2033-05-01,Labour Day
2033-05-12,Ascension Day
2033-05-23,Whit Monday
2033-07-21,National Day
2033-08-15,Assumption Day
2033-11-01,All Saints’ Day
2033-11-11,Armistice Day
2033-12-25,Christmas Day
2034-01-01,New Year’s Day
2034-04-10,Easter Monday
2034-05-01,Labour Day
2034-06-01,Ascension Day
2034-06-12,Whit Monday
2034-07-21,National Day
2034-08-15,Assumption Day
2034-11-01,All Saints’ Day
2034-11-11,Armistice Day
2034-12-25,Christmas Day
2035-01-01,New Year’s Day
2035-04-02,Easter Monday
2035-05-01,Labour Day
2035-05-22,Ascension Day
2035-06-02,Whit Monday
2035-07-21,National Day
2035-08-15,Assumption Day
2035-11-01,All Saints’ Day
2035-11-11,Armistice Day
2035-12-25,Christmas Day
2036-01-01,New Year’s Day
2036-04-14,Easter Monday
2036-05-01,Labour Day
2036-05-13,Ascension Day
2036-05-24,Whit Monday
2036-07-21,National Day
2036-08-15,Assumption Day
2036-11-01,All Saints’ Day
2036-11-11,Armistice Day
2036-12-25,Christmas Day
2037-01-01,New Year’s Day
2037-04-06,Easter Monday
2037-05-01,Labour Day
2037-05-25,Ascension Day
2037-06-07,Whit Monday
2037-07-21,National Day
2037-08-15,Assumption Day
2037-11-01,All Saints’ Day
2037-11-11,Armistice Day
2037-12-25,Christmas Day
2038-01-01,New Year’s Day
2038-04-26,Easter Monday
2038-05-01,Labour Day
2038-05-13,Ascension Day
2038-05-24,Whit Monday
2038-07-21,National Day
2038-08-15,Assumption Day
2038-11-01,All Saints’ Day
2038-11-11,Armistice Day
2038-12-25,Christmas Day
2039-01-01,New Year’s Day
2039-04-18,Easter Monday
2039-05-01,Labour Day
2039-05-25,Ascension Day
2039-06-06,Whit Monday
2039-07-21,National Day
2039-08-15,Assumption Day
2039-11-01,All Saints’ Day
2039-11-11,Armistice Day
2039-12-25,Christmas Day
2040-01-01,New Year’s Day
2040-04-02,Easter Monday
2040-05-01,Labour Day
2040-05-10,Ascension Day
2040-05-21,Whit Monday
2040-07-21,National Day
2040-08-15,Assumption Day
2040-11-01,All Saints’ Day
2040-11-11,Armistice Day
2040-12-25,Christmas Day
